ScaleFO,ScaleRes,O1,O2,value,uncertainty
CV->FO,CV->Res,dphi^1,lndphi^0,863.055827788126,1.8633736147134479
CV->FO,0p5C0_np->Res,dphi^1,lndphi^1,-201.6846332701835,1.6484916424158884
CV->FO,0p5kappa_np->Res,dphi^1,lndphi^1,-202.15596864643635,1.6459212705128057
CV->FO,0p5MuBeam->Res,dphi^1,lndphi^1,-202.090604977878,1.669598598523456
CV->FO,0p5MuBF->Res,dphi^1,lndphi^1,-201.8757927178915,1.6575315330763052
CV->FO,0p5MuCt->Res,dphi^1,lndphi^1,-202.01515084332345,1.646493346388718
CV->FO,0p5MuFac->Res,dphi^1,lndphi^1,-202.09785604957938,1.649805503420238
0p5MuFtran->FO,0p5MuFtran->Res,dphi^1,lndphi^1,-202.77016128211966,1.6557084090371834
CV->FO,0p5MuHard->Res,dphi^1,lndphi^1,-202.21400716431089,1.6467709293572028
CV->FO,0p5MuSoft->Res,dphi^1,lndphi^1,-201.7785837819144,1.6456274203572407
CV->FO,0p5NuBeam->Res,dphi^1,lndphi^1,-202.1151426318005,1.6464144772063367
CV->FO,0p5NuSoft->Res,dphi^1,lndphi^1,-202.0270297678435,1.6443784022457366
CV->FO,2C0_np->Res,dphi^1,lndphi^1,-202.4736016197403,1.6460949667758795
CV->FO,2kappa_np->Res,dphi^1,lndphi^1,-201.9717529812828,1.6459332295804752
CV->FO,2MuBeam->Res,dphi^1,lndphi^1,-201.77517701315412,1.6425885012888528
CV->FO,2MuBF->Res,dphi^1,lndphi^1,-201.96829553070938,1.6492327237503828
CV->FO,2MuCt->Res,dphi^1,lndphi^1,-202.01364520893316,1.6482172461358477
CV->FO,2MuFac->Res,dphi^1,lndphi^1,-201.99483940300644,1.6551935589891276
2MuFtran->FO,2MuFtran->Res,dphi^1,lndphi^1,-202.09461503816976,1.689217199373285
CV->FO,2MuHard->Res,dphi^1,lndphi^1,-201.81168651691513,1.647150041846814
CV->FO,2MuSoft->Res,dphi^1,lndphi^1,-202.3806671885206,1.6454676625534337
CV->FO,2NuBeam->Res,dphi^1,lndphi^1,-202.03043423611916,1.6443187379232467
CV->FO,2NuSoft->Res,dphi^1,lndphi^1,-202.1129561182687,1.6464220870963486
0p5MuF->FO,CV->Res,dphi^1,lndphi^1,-203.40600194957847,1.9188265201817356
0p5MuRF->FO,CV->Res,dphi^1,lndphi^1,-200.09146017898422,2.3253996832475776
0p5MuR->FO,CV->Res,dphi^1,lndphi^1,-198.18766816224098,2.31303792097848
2MuF->FO,CV->Res,dphi^1,lndphi^1,-201.90471995684987,1.861132169941664
2MuRF->FO,CV->Res,dphi^1,lndphi^1,-205.85439681946013,2.061514804117303
2MuR->FO,CV->Res,dphi^1,lndphi^1,-206.10224523750458,2.07843553657795
CV->FO,CV->Res,dphi^1,lndphi^1,-202.07735942325996,1.6475104663355162
CV->FO,0p5C0_np->Res,dphi^1,lndphi^2,855.4061778410195,2.3545009682549822
CV->FO,0p5kappa_np->Res,dphi^1,lndphi^2,855.6385141517451,2.348766442395096
CV->FO,0p5MuBeam->Res,dphi^1,lndphi^2,856.4302664300911,2.391621011057372
CV->FO,0p5MuBF->Res,dphi^1,lndphi^2,857.135376521235,2.3723196920197744
CV->FO,0p5MuCt->Res,dphi^1,lndphi^2,855.613143865768,2.350527814901405
CV->FO,0p5MuFac->Res,dphi^1,lndphi^2,857.9622414587994,2.358087154648929
0p5MuFtran->FO,0p5MuFtran->Res,dphi^1,lndphi^2,856.627029539878,2.3861289463894786
CV->FO,0p5MuHard->Res,dphi^1,lndphi^2,855.9788254094968,2.351093093193648
CV->FO,0p5MuSoft->Res,dphi^1,lndphi^2,855.0537043474218,2.3487254834408553
CV->FO,0p5NuBeam->Res,dphi^1,lndphi^2,855.9441936317154,2.3497278100280816
CV->FO,0p5NuSoft->Res,dphi^1,lndphi^2,855.3789760462635,2.345959534188354
CV->FO,2C0_np->Res,dphi^1,lndphi^2,855.9150990874219,2.348804155118452
CV->FO,2kappa_np->Res,dphi^1,lndphi^2,855.7819574250004,2.3499518083241595
CV->FO,2MuBeam->Res,dphi^1,lndphi^2,855.8752931074898,2.3429492744117817
CV->FO,2MuBF->Res,dphi^1,lndphi^2,855.1382318438971,2.355739511930878
CV->FO,2MuCt->Res,dphi^1,lndphi^2,855.5145108171272,2.3538033603274617
CV->FO,2MuFac->Res,dphi^1,lndphi^2,854.4975283009123,2.3668782602959406
2MuFtran->FO,2MuFtran->Res,dphi^1,lndphi^2,855.5161372555805,2.4523517722082526
CV->FO,2MuHard->Res,dphi^1,lndphi^2,855.114827399289,2.3522053431688033
CV->FO,2MuSoft->Res,dphi^1,lndphi^2,856.7007320170957,2.348716041243142
CV->FO,2NuBeam->Res,dphi^1,lndphi^2,855.3838108413387,2.345854899811408
CV->FO,2NuSoft->Res,dphi^1,lndphi^2,855.9414624459137,2.3497316712200336
0p5MuF->FO,CV->Res,dphi^1,lndphi^2,855.2797396520879,2.823172989419788
0p5MuRF->FO,CV->Res,dphi^1,lndphi^2,857.9920934943145,3.265275559543415
0p5MuR->FO,CV->Res,dphi^1,lndphi^2,855.7163554087064,3.1720883354804603
2MuF->FO,CV->Res,dphi^1,lndphi^2,856.916291065749,2.6868214309806304
2MuRF->FO,CV->Res,dphi^1,lndphi^2,853.993391386805,2.9096951575522003
2MuR->FO,CV->Res,dphi^1,lndphi^2,850.975706635082,2.9516449192999885
CV->FO,CV->Res,dphi^1,lndphi^2,855.6372396687274,2.352382871744049
CV->FO,0p5C0_np->Res,dphi^1,lndphi^3,-1203.3819366901046,4.702911344578646
CV->FO,0p5kappa_np->Res,dphi^1,lndphi^3,-1200.764052221929,4.687812136797981
CV->FO,0p5MuBeam->Res,dphi^1,lndphi^3,-1205.5271532359689,4.774649418591507
CV->FO,0p5MuBF->Res,dphi^1,lndphi^3,-1210.1987694561171,4.741373841235846
CV->FO,0p5MuCt->Res,dphi^1,lndphi^3,-1201.7348495879703,4.692753858637836
CV->FO,0p5MuFac->Res,dphi^1,lndphi^3,-1213.7622909069241,4.7131344913994555
0p5MuFtran->FO,0p5MuFtran->Res,dphi^1,lndphi^3,-1202.8114632291672,4.7994237428005935
CV->FO,0p5MuHard->Res,dphi^1,lndphi^3,-1202.3762888773936,4.69464699786568
CV->FO,0p5MuSoft->Res,dphi^1,lndphi^3,-1200.0959113107804,4.68878938688788
CV->FO,0p5NuBeam->Res,dphi^1,lndphi^3,-1203.1428530744022,4.690310635762388
CV->FO,0p5NuSoft->Res,dphi^1,lndphi^3,-1200.2893538890364,4.68259840489499
CV->FO,2C0_np->Res,dphi^1,lndphi^3,-1200.202085870952,4.687933967852049
CV->FO,2kappa_np->Res,dphi^1,lndphi^3,-1202.755884818562,4.691035223773002
CV->FO,2MuBeam->Res,dphi^1,lndphi^3,-1204.5009012946648,4.676172257346678
CV->FO,2MuBF->Res,dphi^1,lndphi^3,-1199.4799844968315,4.7051434668381615
CV->FO,2MuCt->Res,dphi^1,lndphi^3,-1201.4567097593188,4.699664795197223
CV->FO,2MuFac->Res,dphi^1,lndphi^3,-1196.2366370290506,4.729536198423563
2MuFtran->FO,2MuFtran->Res,dphi^1,lndphi^3,-1201.0962360947071,4.9836698183131505
CV->FO,2MuHard->Res,dphi^1,lndphi^3,-1200.5862751113598,4.697273504538468
CV->FO,2MuSoft->Res,dphi^1,lndphi^3,-1204.9012186347015,4.688777715684043
CV->FO,2NuBeam->Res,dphi^1,lndphi^3,-1200.3158634613374,4.682324717768794
CV->FO,2NuSoft->Res,dphi^1,lndphi^3,-1203.1376047430244,4.6903050434904445
0p5MuF->FO,CV->Res,dphi^1,lndphi^3,-1206.0847467940703,5.7638396701204835
0p5MuRF->FO,CV->Res,dphi^1,lndphi^3,-1201.3755532013333,6.364258154643249
0p5MuR->FO,CV->Res,dphi^1,lndphi^3,-1194.043266538159,6.067440700386788
2MuF->FO,CV->Res,dphi^1,lndphi^3,-1198.9533153119567,5.381302305009623
2MuRF->FO,CV->Res,dphi^1,lndphi^3,-1204.3412925617367,5.748936408002027
2MuR->FO,CV->Res,dphi^1,lndphi^3,-1204.817311007404,5.925958971785186
CV->FO,CV->Res,dphi^1,lndphi^3,-1201.6886865918177,4.696497799856789
CV->FO,0p5C0_np->Res,dphi^1,lndphi^4,3493.9081272072126,12.021459697819788
CV->FO,0p5kappa_np->Res,dphi^1,lndphi^4,3480.248383649935,11.980351666658386
CV->FO,0p5MuBeam->Res,dphi^1,lndphi^4,3498.76331063033,12.185125528296567
CV->FO,0p5MuBF->Res,dphi^1,lndphi^4,3519.0359146567284,12.113832874187436
CV->FO,0p5MuCt->Res,dphi^1,lndphi^4,3484.8919058167858,11.991768649068405
CV->FO,0p5MuFac->Res,dphi^1,lndphi^4,3531.1309557202726,12.052528661081544
0p5MuFtran->FO,0p5MuFtran->Res,dphi^1,lndphi^4,3485.9760438655376,12.308969482552126
